                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    144,                0.57646,                0.42594,                 1.1003,                0.92268,                0.92562,                0.96129,                0.78769,                0.69679,                0.41032,                 1.1878,              0.0085843,              0.0085843,              0.0085843
                    145,                0.57613,                0.43071,                 1.0979,                0.93239,                 0.9136,                0.95631,                0.78418,                0.70024,                0.41538,                 1.1846,              0.0085744,              0.0085744,              0.0085744
                    146,                0.57528,                0.43699,                 1.0983,                0.93787,                0.92518,                 0.9574,                0.79552,                0.69037,                0.41656,                 1.1605,              0.0085645,              0.0085645,              0.0085645
                    147,                 0.5734,                0.42556,                 1.1006,                0.93256,                0.92406,                0.95674,                0.79189,                0.69885,                0.40827,                 1.1794,              0.0085546,              0.0085546,              0.0085546
                    148,                0.57803,                0.43074,                 1.0961,                0.93127,                0.93118,                0.95847,                 0.7948,                0.70142,                0.40071,                 1.1812,              0.0085447,              0.0085447,              0.0085447
                    149,                0.57082,                 0.4211,                 1.1006,                0.94668,                0.91738,                0.96139,                0.79307,                0.71533,                0.40671,                 1.1939,              0.0085348,              0.0085348,              0.0085348
                    150,                0.57425,                0.43309,                 1.1005,                0.94051,                0.91736,                0.96157,                0.79229,                0.71217,                0.40836,                 1.2014,              0.0085249,              0.0085249,              0.0085249
                    151,                0.56471,                0.42092,                 1.0935,                0.95505,                0.90999,                0.96044,                0.79549,                0.69974,                0.39661,                 1.1916,               0.008515,               0.008515,               0.008515
                    152,                0.56906,                0.43123,                 1.1016,                0.93963,                 0.9135,                0.96273,                0.79194,                0.69974,                0.41819,                 1.1904,              0.0085051,              0.0085051,              0.0085051
                    153,                0.55921,                0.40986,                 1.0856,                0.92998,                0.90878,                0.95707,                0.79004,                0.69656,                0.41882,                 1.1835,              0.0084952,              0.0084952,              0.0084952
